용어번호,용어설명,용어명,요약
678,지구단위계획에서 대상지역의 발전을 위하여 권장하는 용도를 말한다. 1층 전면 권장용도는 보행공간 등의 활성화를 위하여 1층 전면부(주된 이용 출입구를 설치한 면)에 필요한 용도를 지정하는 것으로 권장을 수용하는 경우 용적률 인센티브를 적용하기도 한다.,권장용도(勸?用途),
566,혼잡한 도심 및 부도심 주변이나 주택가의 국지도로에는 통근차량이 무료로 장시간 주차가 가능하여 주차장보다 목적지에 가까운 국지도로를 찾아 주차하는 경향이 있으며 이로 인하여 주차장의 이용률도 낮아지는 문제점 등이 있다. 이를 해결하기 위한 방안으로 소액의 이용료를 받고 거주자에게 주택가 인근 국지도로에 주차우선권을 주는 제도이다.,거주자우선주차제(居住者優先駐車制 residential permit parking),
567,영국의『뷰캐논(Coln Buchanan) 보고서』에서 제안된 개념으로서 자동차 교통 위험없이 사람들이 안심하고 거주하며 도보로 통학과 쇼핑을 할 수 있는 지역이라 할 수 있다. 이 지역안에서는 차량통행을 전혀 배제하는 것은 아니고 생활환경을 침해하지 않는 범위내에서 허용되지만 일상생활에서는 보행자가 완전 우선된다. 이 지역의 바깥을 둘러싸는 도로의 네트워크와 거주환경 지역으로 세포조직과 비슷한 시스템을 조립해야 한다고 제안하고 있다.,거주환경지역(居住環境地域 environmental area),
302,건축면적이란 <a class='LINK' href='javascript:openWordLink('건축물');'>건축물</a>의 외벽(외벽이 없는 경우에는 외곽 부분의 기둥을 말함)의 중심선으로 둘러싸인 부분의 수평투영면적을 말한다. 단 지표면상 1m 이하에 해당하는 <a class='LINK' href='javascript:openWordLink('건축물');'>건축물</a>의 부분은 <a class='LINK' href='javascript:openWordLink('건축면적');'>건축면적</a>의 산정에서 제외된다. 또한 <a class='LINK' href='javascript:openWordLink('발코니');'>발코니</a>(단독 <a class='LINK' href='javascript:openWordLink('공동주택');'>공동주택</a>) 처마 차양 부연 기타 이와 유사한 것으로 당해 외벽 중심선으로부터 수평거리 1m(창고 3m)이상 돌출된 경우 그 끝부분으로부터 수평거리 1m(창고 3m)를 후퇴한 선으로 둘러싸인 부분의 수평투영면적으로 한다.,건축면적,
573,가로경관의 연속적인 형태를 유지할 필요가 있거나 중요가로변의 건축물을 정연하게 할 필요가 있는 경우에 지정하는 것으로서 건축물의 외벽면이 계획에서 정한 선의 수직면에 일정비율 이상 접해야 하는 선을 말한다.,건축지정선(建築指定線),
586,계획?설계할 도로가 통과하는 지역의 발전 및 장래의 자동차교통의 상황 등을 고려하여 계획목표년도에 당해 도로를 통과할 것으로 예상되는 자동차의 연평균 일일교통량(ADDT:annual average daily traffic)을 말한다. 계획교통량은 건설할 도로의 규모를 결정하는 것으로 매우 중요하기 때문에 당해 도로의 발전동향 장래의 자동차 교통상황 등을 감안하여 결정해야 한다.,계획교통량(計劃交通量),
208,CPTED (Crime Prevention Through Environmental Design)이란 환경설계를 통한 범죄예방 이론으로 도시계획 건축설계 등 도시환경의 범죄에 대한 방어적인 디자인을 통하여 범죄발생 기회를 줄여 도시민들이 범죄에 대한 두려움을 없애고 안전감을 느끼도록하는 종합적인 범죄예방 전략 이론이다.;서울시에서는 2009년에 국내 최초로 범죄예방 환경설계 지침을 마련하였다.,CPTED(셉테드) 이론,
602,대지안에 일반인이 보행통행에 이용할 수 있도록 조성한 통로로서 지구단위계획에서 운용되는 계획요소이다.,공공보행통로(公共步行通路),
1684,공업지역은 주변지역에 오염피해의 발생을 방지하며<span style='letter-spacing: 0pt'> </span>공업생산의 능률성을 제고할 수 있도록 지형지세<span style='letter-spacing: 0pt'> </span>풍향<span style='letter-spacing: 0pt'> </span>수자원 및 교통시설과의 접근성 등을 고려하여 지정한다<span style='letter-spacing: 0pt'>.</span>;<span style='letter-spacing: -0.6pt'>공업지역은 공업의 성격과 규모를 고려하여 다음과 같이 세분화하여 지정한다</span><span style='letter-spacing: -0.6pt'>.</span>        <span style='font-weight: bold; letter-spacing: -1.2pt'>전용공업지역</span><span style='letter-spacing: -1.2pt'>: </span><span style='letter-spacing: -1.2pt'>주로 중화학공업</span><span style='letter-spacing: -1.2pt'> </span><span style='letter-spacing: -1.2pt'>공해성 공업 등을 수용하기 위하여 필요한 지역</span>            <span style='font-weight: bold; letter-spacing: -1.2pt'>일반공업지역</span><span style='letter-spacing: -1.2pt'>: </span><span style='letter-spacing: -1.2pt'>환경을 저해</span><span style='letter-spacing: -1.2pt'>(</span><span style='letter-spacing: -1.2pt'>沮害</span><span style='letter-spacing: -1.2pt'>)</span><span style='letter-spacing: -1.2pt'>하지 않는 공업을 수용하기 위하여 필요한 지역</span>            <span style='font-weight: bold; letter-spacing: -1.2pt'>준공업지역</span><span style='letter-spacing: -1.2pt'>: </span><span style='letter-spacing: -1.2pt'>경공업 그 밖의 공업을 수용하되</span><span style='letter-spacing: -1.2pt'> </span><span style='letter-spacing: -1.2pt'>주거</span><span style='letter-spacing: -1.2pt'>;</span><span style='letter-spacing: -1.2pt'>상업</span><span style='letter-spacing: -1.2pt'>;</span><span style='letter-spacing: -1.2pt'>업무기능의 보완이 필요한 지역</span>    <span style='letter-spacing: -0.2pt'>공업지역으로 지정된 지역 내에서의 토지이용은 </span><span style='letter-spacing: -0.2pt'>「</span><span style='letter-spacing: -0.2pt'>국토의 계획 및 이용에 관한 법률</span><span style='letter-spacing: -0.2pt'>」</span><span style='letter-spacing: -0.2pt'>에서</span> 정하는 바에 따라 <span style='letter-spacing: 0pt'>70% </span>이하의 건폐율과 <span style='letter-spacing: 0pt'>150% </span>이상 <span style='letter-spacing: 0pt'>400% </span>이하의 용적률의 범위로 <span style='letter-spacing: -0.3pt'>제한되며</span><span style='letter-spacing: -0.3pt'> </span><span style='letter-spacing: -0.3pt'>해당 지방자치단체의 도시계획조례를 통해 추가적인 세부사항을 정할 수 있다</span><span style='letter-spacing: -0.3pt'>.</span>;<span style='letter-spacing: -0.1pt'>또한 공업지역에서는 토지의 형질변경과 관련된 개발행위의 허가를 </span><span style='letter-spacing: -0.1pt'>30000</span><span style='letter-spacing: -0.1pt'>㎡ </span><span style='letter-spacing: -0.1pt'>미만으로</span> <span style='letter-spacing: -0.1pt'>제한하고 있으며</span><span style='letter-spacing: -0.1pt'> </span><span style='letter-spacing: -0.1pt'>세분된 각 공업지역 안에서 건축할 수 있는 건축물의 종류는 </span><span style='letter-spacing: -0.4pt'>「</span><span style='letter-spacing: -0.4pt'>국토의 </span><span style='letter-spacing: -0.3pt'>계획 및 이용에 관한 법률 시행령</span><span style='letter-spacing: -0.3pt'>」 </span><span style='letter-spacing: -0.3pt'>및 </span><span style='letter-spacing: -0.3pt'>「</span><span style='letter-spacing: -0.3pt'>서울특별시 도시계획조례</span><span style='letter-spacing: -0.3pt'>」</span><span style='letter-spacing: -0.3pt'>에 규정되어 있다</span><span style='letter-spacing: -0.3pt'>.</span>;서울시의 경우 <span style='letter-spacing: 0pt'>2015</span>년 말을 기준으로 전체 도시계획구역 <span style='letter-spacing: 0pt'>605.60k</span><span style='letter-spacing: 0pt'>㎡ </span>중 <span style='letter-spacing: 0pt'>19.98k</span><span style='letter-spacing: 0pt'>㎡</span><span style='letter-spacing: 0pt'>(3.3%)</span>가 준공업지역으로 지정되어 있다<span style='letter-spacing: 0pt'>.</span>,공업지역,공업의 편익증진을 위하여 필요한 지역으로서 「국토의 계획 및 이용에 관한 법률」에 의한 도시지역의 세분류 중 하나이다.
628,공공의 이익을 위하여 본인의 의사를 묻지 않고 타인의 특정한 재산권을 강제적으로 취득하여 국가나 제3자에게 옮겨 놓는 것을 말한다. 재산권 자체를 취득하고 재산권을 전면적으로 박탈한다는 점에서 강제매매(선매권행사)나 공용제한과는 다르다.☞공용부담 공용환지 공용환권 공용제한 선매권',공용수용(公用收用),
357,;KOPSS란 첨단정보기술과 각종 공간분석기법을 활용하여 국토정책 및 공간계획 수립을 지원하는 의사결정지원도구로서 국토공간계획의 과학화 투명화 합리화에 통해 국토의 이용가치를 극대화하기 위한 국가공간정보 인프라이다.;,KOPSS (국토공간계획지원체계 KOrea Planning Support System),
541,교차부분에서 시야를 확보하고 차선의 교통을 원활하게 하기 위해서 교차부분에 면하는 가각의 돌출부 일부를 유선형으로 만드는 것을 말한다.,가각전제(街角剪除),
544,「토지보상법」에서 규정된 보상액산정의 기준이 되는 시점을 말한다.,가격시점(價格始點),
545,개발도상국의 도시성장이 산업화에 따른 경제성장에 미치지 못하면서 발생되는 도시팽창현상을 말한다. 즉 도시의 부양능력에 비해 지나치게 많은 인구가 도시에 집중하여 인구만 비대해진 도시화 현상을 뜻한다.,가도시화(假都市化 pseudo-urbanization),
546,장래의 본등기에 대비하여 미리 등기부상의 순위를 보전하기 위하여 행하는 등기를 말한다. 예를 들어 매매를 예약하였거나 기한에 차용금을 변제하지 못하고 대물변제로서 부동산을 취득한다는 약정을 하였을 경우와 같이 명확히 장래에 소유권이전의 본등기를 하는 것이 예상될 때 미리 행하는 등기이다.,가등기(假登記),
577,가구방문조사 폐쇄선 조사 등 여러 가지 조사들에 의해 도출된 조사결과를 검증하거나 보완하기 위해 실시하는 교통량 조사방법으로 조사지역내의 하나 혹은 몇 개의 가상선을 그어 이 선을 통과하는 차량을 조사하여 가구방문조사나 폐쇄선 조사 등에서 구한 교통량과 비교하여 그 정밀도를 검증하고 수정?보완하는 조사이다. 보통 남북선과 동서선을 간선도로상에 그어 이 선상에 위치한 교차로를 통과하는 차량을 조사하게 된다.,검사선 조사(檢査線 調査 screen line counts),
601,「도시계획시설의결정?구조및설치기준에관한규칙」에 의하여 도시내의 주요시설물 또는 환경의 보호 경관의 유지 재해대책 및 보행자의 통행과 시민의 일시적 휴양공간 확보를 위해 설치하는 도시계획시설을 말한다. 공공공지의 설치시 지역의 미관을 저해하지 않아야 하며 지역의 쾌적한 환경을 조성하기 위하여 필요한 경우 긴의자 조형물 옥외생활체육시설 등 공중이 이용할 수 있는 시설을 설치하되 주민의 일상생활에 있어 쾌적성과 안전성을 확보하여야 한다.,공공공지(公共空地),
894,프랑스의 도시계획에서 사용하는 제도로 어떤 지역에 대해서 일률적으로 용적률을 정하고 이를 초과해서 건설하려는 자는 그 초과분에 따른 과징금을 공공단체에 지불해야 한다. 상한밀도는 도심부의 밀도를 억제하고 동시에 공공단체의 도시계획을 위한 재원을 늘리려는 것을 목적으로 한다.,상한밀도(上限密度 PLD; plafand legal de densite),
562,국토교통부장관은 전국의 토지 중 대표성이 높은 표준지를 선정하고 단위면적(㎡) 당 적정가격인 공시지가를 결정한다. 시장;군수;구청장은 표준지의 공시지가를 바탕으로 하여 개별토지의 단위면적(㎡) 당 적정가격인 개별공시지가를 산정한다.개별토지의 용도(주거용 상업용 공업용 등) 도로;교통조건 토지이용규제사항 등이 유사한 표준지와 비교하여 토지가격비준표에 의해 그 차이에 따른 가격배율을 산출하고 표준지공시지가에 가격배율을 곱하여 개별공시지가를 산정한다.;<div style='margin-left: 40px'>개별공시지가 = 가격배율 &times; 표준지 공시지가;개별공시지가는 시;군;구 부동산평가위원회의 심의를 거쳐 결정되며 개별공시지가에 대해 이의가 있는 경우 결정;공시일로부터 30일 이내에 시장;군수 또는 구청장에게 이의를 신청할 수 있다.개별공시지가는 양도소득세 상속세 종합부동산세 등의 국세와 취득세 등록세 등 지방세 개발부담금 농지전용부담금 등의 부담금 부과 시 가격기준으로 활용된다.,개별공시지가(個別公示地價),표준지(標準地)공시지가를 이용하여 산정한 개별토지의 단위면적(㎡)당 가격을 말한다.
565,지리학에서 지리상의 어느 지점이나 지리적 중심지를 거점이라 하며 여러 교통이 만나는 교통요충지를 결절점(nodal point)이라 한다. 이러한 지역은 경제성장의 잠재력이 높아 투자의 효율성이 기대되는 곳으로서 지역발전의 교두보 역할을 담당한다. 거점도시를 중심으로 개발을 집중시킴으로써 외부효과의 확산을 촉진시켜 지역의 균형발전을 도모할 수 있다.,거점(據點 pole point/nodal point/center),
920,성장극 이론에서는 경제발전의 분극(polarization)현상을 주도하는 대기업을 지칭한다. 그 이유는 대기업이 거대한 기업적 바탕을 가지고 생산적인 혁신을 많이 창출할 뿐 아니라 깊게 그리고 광범위하게 관련 생산업체에 영향을 줄 수 있기 때문이다. 이러한 기업을 발전추진적 기업이라고도 한다. 발전추진적 기업은 다수의 다른 기업체와의 높은 상호의존성을 가지되 다른 기업체보다 높은 우월성을 가지는 큰 규모를 가진 기업이라고 할 수 있다.,성장극(成長極 growth pole),
121,건축법에 의해 <a class='LINK' href='javascript:openWordLink('허가');'>허가</a>권자는 <a class='LINK' href='javascript:openWordLink('가로구역');'>가로구역</a>별로 최고 높이를 제한할수 있는데 여기서 <a class='LINK' href='javascript:openWordLink('가로구역');'>가로구역</a>이란 <a class='LINK' href='javascript:openWordLink('도로');'>도로</a>로 둘러싸인 일단의 지역을 말한다.,가로구역,
603,불특정 다수인이 사용하는 공공의 시설물을 뜻하는 것으로 「국토의계획및이용에관한법률」 「택지개발촉진법」 등에서 그 사용 목적에 따라 조금씩 달리 분류하고 있다.① 「국토의계획및이용에관한법률」의 규정에 의하면 공공시설이라 하면 도로?공원?철도?수도?운하?항만?공항?광장?녹지?공공공지?공동구?하천?유수지?방풍설비?방수설비?방화설비?사방설비?방조설비?하수도?구거와 행정청이 설치하는 주차장?운동장?저수지?화장장?공동묘지?납골시설이 포함된다.② 「택지개발촉진법」의 규정에 의하면 공공시설용지라고 하며 이에는 「국토의계획및이용에관한법률」에서 정하는 기반시설과 어린이놀이터?노인정?집회소?운동시설?교육연구시설?우체국?일반목욕장?종교집회장?판매시설?업무시설?의료시설?지역의 자족기능 확보를 위하여 필요한 시설(도시형공장?벤처기업집적시설?소프트웨어개발사업관련시설)?관리시설 등의 시설을 설치하기 위한 토지가 포함된다.',공공시설(公共施設),
604,다음의 두 가지 특성을 가지는 재화나 서비스를 말한다. 첫째는 소비에 있어서의 비경합성으로 소비에 참여하는 사람의 수가 아무리 많아도 한 사람이 소비할 수 있는 양에는 전혀 변함이 없는 재화와 서비스의 특성을 말한다. 많은 사람들이 동일한 재화와 서비스를 동시에 소비할 수 있으며 한 개인의 소비가 다른 사람들의 소비를 감소시키지 않는다는 것이다. 둘째는 소비에 있어서의 비배제성이다. 이는 재화와 서비스에 대하여 어떤 대가를 치르지 않고 소비하려고 해도 소비를 못하게 할 수 없다는 것을 의미한다. 이상의 두 가지 특성을 충족시키는 재화와 서비스를 순수공공재라 하는데 그 예는 국방?경찰?일기예보?등대 등이다. 이 두 가지 특성 중 어느 것에도 해당되지 않는 재화를 민간재 혹은 사적재(private goods)라 한다. 현실적으로 대부분의 재화나 서비스는 이 두가지 특성 중 하나에 속하는 경우가 많은데 이를 통칭하여 비순수공공재 혹은 준공공재라 한다.,공공재(公共財 public goods),
627,공익사업 등과 같은 공공의 이익을 위하여 강제적으로 국민에게 부과하는 공법상의 인적?물적부담을 의미한다. 여기서 인적 공용부담이라 함은 공공의 이익을 위하여 특정인에게 부과되는 각종 의무를 말하며 부담금 부역?현품부담 노역?물품부담 시설부담 등이 있다. 물적 공용부담 역시 공공의 이익을 위하여 직접적으로 그 재산권에 대해 물권적 변동(변경?제한?소멸)을 유발하는 부담을 말한다. 물적 공용부담은 공용수용 공용환지 공용환권 공용제한으로 구분된다.☞공용수용 공용환지 공용환권 공용제한',공용부담(公用負擔),
568,인간생활과 관련된 물리적 구조의 전체를 뜻하는 것으로 주택 도로 공원 공장 사무소 상하수도 시설 문화?교육시설 등을 포함하는 가시적인 환경구조의 총체를 지시하는 개념으로 두 가지 범주로 나눌 수 있다. 첫째는 생산에 사용되는 고정자본으로서의 공장?사무소?고속도로?철도 등 생산을 위한 건조환경이다. 둘째는 각 개인의 생활환경에서 일정한 자금지출을 요구하는 주택?도로?공원?녹지공간 등의 소비를 위한 건조환경이다.,건조환경(建造環境 built environment),
632,토지의 효용을 증진하기 위하여 토지소유권 및 기타의 권리(지상권?지역권?임차권)를 강제적으로 교환?분합하는 것을 말한다. 이는 원칙적으로 권리의 실질에 변동을 주지 않으면서 동일한 가치의 토지와 교환케 하는 점에서 공용제한?공용수용과 다르다.☞공용수용 공용부담 공용환권 공용제한',공용환지(公用換地),
633,공중의 보건?휴양?위락을 위하여 설치된 녹지공간이라고 할 수 있다. 우리 나라의 공원은 크게 자연공원과 도시공원으로 구분할 수 있는데 법적 근거를 살펴보면 전국적 수준의 광역공원인 자연공원(군립?도립?국립공원)에 대해서는 「자연공원법」에서 규정하고 있으며 도시공원은 자연경관의 보호와 건강?휴양 및 정서생활의 향상에 기여하기 위하여 「국토의계획및이용에관한법률」 및 「도시공원및녹지등에관한법률」에 의해 설치되는 일종의 도시계획시설이다. 「도시공원및녹지등에관한법률」에서는 공원의 이용권 목적이나 성격 이용자의 구성과 형태 등에 따라 생활권공원(소공원 어린이공원 근린공원)과 주제공원(역사공원 수변공원 문화공원 묘지공원 체육공원)으로 구분하고 있다.☞도시공원 자연공원 어린이공원 도시자연공원 묘지공원 근린공원 체육공원,공원(公園 park),
635,「공유수면관리법」에서 바다?바닷가?하천?호소(湖沼)?구거(溝渠)?기타 공공용으로 상용되는 수면(水面) 또는 수류(水流)로서 국가가 보유한 것을 말한다.,공유수면(公有水面),
